"","Mat_Bat","Inns_Bat","NO","Runs_Bat","HS","Ave_Bat","BF","SR_Bat","100","50","4s","6s","Ct","St","Mat_Bowl","Inns_Bowl","Balls","Runs_Bowl","Wkts","Ave_Bowl","Econ","SR_Bowl","4w","5w","10","Full_Name","Country","Batting_Style","Bowling_Style"
"45",206,200,31,8010,264,47.39,9107,87.95,22,41,699,218,73,0,206,38,593,515,8,64.37,5.21,74.1,0,0,0," Rohit Gurunath Sharma","India","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"46",128,127,7,5355,143,44.62,5709,93.79,16,27,666,67,61,0,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Shikhar Dhawan","India","Batting style Left-hand bat","Bowling style Right-arm offbreak"
"47",227,219,37,10843,183,59.57,11664,92.96,41,49,1019,116,111,0,227,48,641,665,4,166.25,6.22,160.2,0,0,0," Virat Kohli","India","Batting style Right-hand bat","Bowling style Right-arm medium"
"48",14,13,3,343,100,34.3,424,80.89,1,2,26,5,7,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Kannaur Lokesh Rahul","India","Batting style Right-hand bat",NA
"49",45,29,4,731,83,29.24,627,116.58,0,4,48,36,19,0,45,44,1894,1748,44,39.72,5.53,43,0,0,0," Hardik Himanshu Pandya","India","Batting style Right-hand bat","Bowling style Right-arm medium-fast"
"50",341,289,82,10500,183,50.72,11992,87.55,10,71,806,224,314,120,341,2,36,31,1,31,5.16,36,0,0,0," Mahendra Singh Dhoni","India","Batting style Right-hand bat","Bowling style Right-arm medium"
"51",91,77,21,1738,79,31.03,2358,73.7,0,9,174,15,61,7,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Krishnakumar Dinesh Karthik","India","Batting style Right-hand bat",NA
"52",151,101,33,2035,87,29.92,2416,84.23,0,10,155,37,53,0,151,147,7669,6245,174,35.89,4.88,44,7,1,0," Ravindrasinh Anirudhsinh Jadeja","India","Batting style Left-hand bat","Bowling style Slow left-arm orthodox"
"53",105,49,15,523,53,15.38,697,75.03,0,1,44,8,25,0,105,104,5039,4209,118,35.66,5.01,42.7,3,1,0," Bhuvneshwar Kumar Singh","India","Batting style Right-hand bat","Bowling style Right-arm medium"
"54",44,18,10,100,19,12.5,171,58.47,0,0,8,0,5,0,44,42,2298,1892,87,21.74,4.93,26.4,4,1,0," Kuldeep Yadav","India","Batting style Left-hand bat","Bowling style Slow left-arm chinaman"
"55",63,29,14,131,25,8.73,152,86.18,0,0,10,6,21,0,63,62,3231,2951,113,26.11,5.48,28.5,6,0,0," Mohammed Shami Ahmed","India","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"56",49,10,5,18,10,3.6,42,42.85,0,0,2,1,16,0,49,49,2505,1883,85,22.15,4.51,29.4,4,1,0," Jasprit Jasbirsingh Bumrah","India","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
